market,epiweek,year,forecast_date,target,target_end_date,location,type,quantile,value
Bliss/White Sands,42,2022,2022-10-12,2 wk ahead CLI pct,2022-10-22,Bliss_White_Sands,quantile,0.1,3.9
Bliss/White Sands,42,2022,2022-10-12,2 wk ahead CLI pct,2022-10-22,Bliss_White_Sands,quantile,0.15,4.2
Bliss/White Sands,42,2022,2022-10-12,2 wk ahead CLI pct,2022-10-22,Bliss_White_Sands,quantile,0.2,4.4
Bliss/White Sands,42,2022,2022-10-12,2 wk ahead CLI pct,2022-10-22,Bliss_White_Sands,quantile,0.25,4.6
Bliss/White Sands,42,2022,2022-10-12,2 wk ahead CLI pct,2022-10-22,Bliss_White_Sands,quantile,0.3,4.7
Bliss/White Sands,42,2022,2022-10-12,2 wk ahead CLI pct,2022-10-22,Bliss_White_Sands,quantile,0.35,4.9
Bliss/White Sands,42,2022,2022-10-12,2 wk ahead CLI pct,2022-10-22,Bliss_White_Sands,quantile,0.4,5.1
Bliss/White Sands,42,2022,2022-10-12,2 wk ahead CLI pct,2022-10-22,Bliss_White_Sands,quantile,0.45,5.2
Bliss/White Sands,42,2022,2022-10-12,2 wk ahead CLI pct,2022-10-22,Bliss_White_Sands,quantile,0.5,5.4
Bliss/White Sands,42,2022,2022-10-12,2 wk ahead CLI pct,2022-10-22,Bliss_White_Sands,quantile,0.55,5.6
Bliss/White Sands,42,2022,2022-10-12,2 wk ahead CLI pct,2022-10-22,Bliss_White_Sands,quantile,0.6,5.9
Bliss/White Sands,42,2022,2022-10-12,2 wk ahead CLI pct,2022-10-22,Bliss_White_Sands,quantile,0.65,6.1
Bliss/White Sands,42,2022,2022-10-12,2 wk ahead CLI pct,2022-10-22,Bliss_White_Sands,point,NA,6.2
Bliss/White Sands,42,2022,2022-10-12,2 wk ahead CLI pct,2022-10-22,Bliss_White_Sands,quantile,0.7,6.4
Bliss/White Sands,42,2022,2022-10-12,2 wk ahead CLI pct,2022-10-22,Bliss_White_Sands,quantile,0.75,6.7
Bliss/White Sands,42,2022,2022-10-12,2 wk ahead CLI pct,2022-10-22,Bliss_White_Sands,quantile,0.8,6.9
Bliss/White Sands,42,2022,2022-10-12,2 wk ahead CLI pct,2022-10-22,Bliss_White_Sands,quantile,0.85,7.3
Bliss/White Sands,42,2022,2022-10-12,2 wk ahead CLI pct,2022-10-22,Bliss_White_Sands,quantile,0.9,8.3
Bliss/White Sands,42,2022,2022-10-12,2 wk ahead CLI pct,2022-10-22,Bliss_White_Sands,quantile,0.95,9
Bliss/White Sands,42,2022,2022-10-12,2 wk ahead CLI pct,2022-10-22,Bliss_White_Sands,quantile,0.975,9.7
Bliss/White Sands,42,2022,2022-10-12,2 wk ahead CLI pct,2022-10-22,Bliss_White_Sands,quantile,0.99,11.3
Bliss/White Sands,43,2022,2022-10-12,3 wk ahead CLI pct,2022-10-29,Bliss_White_Sands,quantile,0.01,2.3
Bliss/White Sands,43,2022,2022-10-12,3 wk ahead CLI pct,2022-10-29,Bliss_White_Sands,quantile,0.025,2.8
Bliss/White Sands,43,2022,2022-10-12,3 wk ahead CLI pct,2022-10-29,Bliss_White_Sands,quantile,0.05,3.3
Bliss/White Sands,43,2022,2022-10-12,3 wk ahead CLI pct,2022-10-29,Bliss_White_Sands,quantile,0.1,3.8
Bliss/White Sands,43,2022,2022-10-12,3 wk ahead CLI pct,2022-10-29,Bliss_White_Sands,quantile,0.15,4.1
Bliss/White Sands,43,2022,2022-10-12,3 wk ahead CLI pct,2022-10-29,Bliss_White_Sands,quantile,0.2,4.4
Bliss/White Sands,43,2022,2022-10-12,3 wk ahead CLI pct,2022-10-29,Bliss_White_Sands,quantile,0.25,4.6
Bliss/White Sands,43,2022,2022-10-12,3 wk ahead CLI pct,2022-10-29,Bliss_White_Sands,quantile,0.3,4.8
Bliss/White Sands,43,2022,2022-10-12,3 wk ahead CLI pct,2022-10-29,Bliss_White_Sands,quantile,0.35,5
Bliss/White Sands,43,2022,2022-10-12,3 wk ahead CLI pct,2022-10-29,Bliss_White_Sands,quantile,0.4,5.2
Bliss/White Sands,43,2022,2022-10-12,3 wk ahead CLI pct,2022-10-29,Bliss_White_Sands,quantile,0.45,5.4
Bliss/White Sands,43,2022,2022-10-12,3 wk ahead CLI pct,2022-10-29,Bliss_White_Sands,quantile,0.5,5.6
Bliss/White Sands,43,2022,2022-10-12,3 wk ahead CLI pct,2022-10-29,Bliss_White_Sands,quantile,0.55,5.9
Bliss/White Sands,43,2022,2022-10-12,3 wk ahead CLI pct,2022-10-29,Bliss_White_Sands,quantile,0.6,6.1
Bliss/White Sands,43,2022,2022-10-12,3 wk ahead CLI pct,2022-10-29,Bliss_White_Sands,quantile,0.65,6.4
Bliss/White Sands,43,2022,2022-10-12,3 wk ahead CLI pct,2022-10-29,Bliss_White_Sands,point,NA,6.4
Bliss/White Sands,43,2022,2022-10-12,3 wk ahead CLI pct,2022-10-29,Bliss_White_Sands,quantile,0.7,6.7
Bliss/White Sands,43,2022,2022-10-12,3 wk ahead CLI pct,2022-10-29,Bliss_White_Sands,quantile,0.75,7.1
Bliss/White Sands,43,2022,2022-10-12,3 wk ahead CLI pct,2022-10-29,Bliss_White_Sands,quantile,0.8,7.3
Bliss/White Sands,43,2022,2022-10-12,3 wk ahead CLI pct,2022-10-29,Bliss_White_Sands,quantile,0.85,7.7
Bliss/White Sands,43,2022,2022-10-12,3 wk ahead CLI pct,2022-10-29,Bliss_White_Sands,quantile,0.9,8.9
Bliss/White Sands,43,2022,2022-10-12,3 wk ahead CLI pct,2022-10-29,Bliss_White_Sands,quantile,0.95,9.7
Bliss/White Sands,43,2022,2022-10-12,3 wk ahead CLI pct,2022-10-29,Bliss_White_Sands,quantile,0.975,10.4
Bliss/White Sands,43,2022,2022-10-12,3 wk ahead CLI pct,2022-10-29,Bliss_White_Sands,quantile,0.99,12.1
Bliss/White Sands,44,2022,2022-10-12,4 wk ahead CLI pct,2022-11-05,Bliss_White_Sands,quantile,0.01,2.1
Bliss/White Sands,44,2022,2022-10-12,4 wk ahead CLI pct,2022-11-05,Bliss_White_Sands,quantile,0.025,2.5
Bliss/White Sands,44,2022,2022-10-12,4 wk ahead CLI pct,2022-11-05,Bliss_White_Sands,quantile,0.05,3.1
Bliss/White Sands,44,2022,2022-10-12,4 wk ahead CLI pct,2022-11-05,Bliss_White_Sands,quantile,0.1,3.7
Bliss/White Sands,44,2022,2022-10-12,4 wk ahead CLI pct,2022-11-05,Bliss_White_Sands,quantile,0.15,4
Bliss/White Sands,44,2022,2022-10-12,4 wk ahead CLI pct,2022-11-05,Bliss_White_Sands,quantile,0.2,4.3
Bliss/White Sands,44,2022,2022-10-12,4 wk ahead CLI pct,2022-11-05,Bliss_White_Sands,quantile,0.25,4.6
Bliss/White Sands,44,2022,2022-10-12,4 wk ahead CLI pct,2022-11-05,Bliss_White_Sands,quantile,0.3,4.9
Bliss/White Sands,44,2022,2022-10-12,4 wk ahead CLI pct,2022-11-05,Bliss_White_Sands,quantile,0.35,5.1
Bliss/White Sands,44,2022,2022-10-12,4 wk ahead CLI pct,2022-11-05,Bliss_White_Sands,quantile,0.4,5.3
Bliss/White Sands,44,2022,2022-10-12,4 wk ahead CLI pct,2022-11-05,Bliss_White_Sands,quantile,0.45,5.5
Bliss/White Sands,44,2022,2022-10-12,4 wk ahead CLI pct,2022-11-05,Bliss_White_Sands,quantile,0.5,5.7
Bliss/White Sands,44,2022,2022-10-12,4 wk ahead CLI pct,2022-11-05,Bliss_White_Sands,quantile,0.55,6
Bliss/White Sands,44,2022,2022-10-12,4 wk ahead CLI pct,2022-11-05,Bliss_White_Sands,quantile,0.6,6.4
Bliss/White Sands,44,2022,2022-10-12,4 wk ahead CLI pct,2022-11-05,Bliss_White_Sands,point,NA,6.5
Bliss/White Sands,44,2022,2022-10-12,4 wk ahead CLI pct,2022-11-05,Bliss_White_Sands,quantile,0.65,6.6
Bliss/White Sands,44,2022,2022-10-12,4 wk ahead CLI pct,2022-11-05,Bliss_White_Sands,quantile,0.7,6.9
Bliss/White Sands,44,2022,2022-10-12,4 wk ahead CLI pct,2022-11-05,Bliss_White_Sands,quantile,0.75,7.4
Bliss/White Sands,44,2022,2022-10-12,4 wk ahead CLI pct,2022-11-05,Bliss_White_Sands,quantile,0.8,7.7
Bliss/White Sands,44,2022,2022-10-12,4 wk ahead CLI pct,2022-11-05,Bliss_White_Sands,quantile,0.85,8.2
Bliss/White Sands,44,2022,2022-10-12,4 wk ahead CLI pct,2022-11-05,Bliss_White_Sands,quantile,0.9,9
Bliss/White Sands,44,2022,2022-10-12,4 wk ahead CLI pct,2022-11-05,Bliss_White_Sands,quantile,0.95,10.1
Bliss/White Sands,44,2022,2022-10-12,4 wk ahead CLI pct,2022-11-05,Bliss_White_Sands,quantile,0.975,11
Bliss/White Sands,44,2022,2022-10-12,4 wk ahead CLI pct,2022-11-05,Bliss_White_Sands,quantile,0.99,12.8
Bragg/Pope,41,2022,2022-10-12,1 wk ahead CLI pct,2022-10-15,Bragg_Pope,quantile,0.01,0
